Temperature,Magnetization_a_n20,Magnetization_b_n20,Magnetization_a_n60,Magnetization_b_n60,Magnetization_a_n100,Magnetization_b_n100,Magnetization_a_n200,Magnetization_b_n200,Magnetization_a_n550,Magnetization_b_n550,Magnetization_a_n900,Magnetization_b_n900
0.1,1.0,1.0,0.989668512176998,1.0,0.9822562940377437,1.0,0.9114828813985172,0.9960236476239763,0.3298800811101199,0.9983405713216594,0.3517424551571464,0.9944615559833163
0.30526315789473685,0.9988382394011618,1.0,0.9964259962369073,1.0,0.990492982489507,0.9995873477604127,0.867184897712815,0.9996334938603665,0.09236557138763442,0.9975245816024755,0.43941574076947315,0.9876410155968034
0.5105263157894737,0.045353007654647004,0.9999987988000012,0.07894653425438679,1.0,0.26900017117099984,0.9960921961039078,0.08487421934512579,0.999994064070006,0.3492331020507669,0.9963105324036895,0.033037953804739825,0.9930818999291403
0.7157894736842105,0.06887400513112597,0.9999566567000433,0.028915519937751138,0.999979346033354,0.07558717158441283,0.9999710110400291,0.03084711626915288,0.9997747549802253,0.022609779897390225,0.9938464198461535,0.028010426860878464,0.9940484499570627
0.9210526315789473,0.0011658646988341342,0.999663063400337,0.03271368096728631,0.9996684354336648,0.0213808995186191,0.9996082886803918,0.010785865079214139,0.9991973681708026,0.030268187009731815,0.9980907071619093,0.002328875435448902,0.9883318546338904
1.1263157894736844,0.005248343094751655,0.9981852871018146,0.00464474009535526,0.9981127146018872,0.007670502832329499,0.9980546566019455,0.023268885616731114,0.995652967314347,0.008340266471659731,0.9961958505638041,0.008048840791951159,0.9868302167198364
1.3315789473684212,0.0015117101984882886,0.9934232298065768,0.012278833221054499,0.9935681746064319,0.00042154111957845743,0.993733159426267,0.0011028117088971892,0.9937662324662339,0.00859731963140268,0.9843738112556261,0.0034426903587795334,0.9836752604741026
1.536842105263158,0.003132028896867968,0.16035259223964743,0.008587111858079555,0.9839095923494238,0.010739008269260993,0.9848249801551752,4.152147995847842e-05,0.9843988444456012,0.002084271277915729,0.9754466894245533,0.006393222384717888,0.9774567303847655
1.7421052631578948,2.382379997617661e-05,0.38604686081395323,0.0018287936315045388,0.9665789457000876,0.002658415757341585,0.9668998529531002,0.002861518657138481,0.9668373605231626,0.012265784427734216,0.9619846954380152,0.007401540805931793,0.9606624462282265
1.9473684210526316,0.0017444426982555585,0.049607758150392256,6.69335332664006e-05,0.8474717242525284,0.0032087855767912146,0.5468157088931843,0.0061229568338770435,0.9357827669842173,0.002620344997379656,0.9362220713037779,0.0069211675797455,0.9340963711636814
2.1526315789473687,0.0009383373990616636,0.09716366650283634,0.0016598248316735088,0.12267495227732506,0.00021701679978298384,0.692991978987008,0.0008481172691518824,0.8872252680427747,0.0039417923960582074,0.884680989035319,0.005461093410094461,0.873584146117527
2.3578947368421055,0.001747245498252755,0.005506000494494007,0.002086551131246782,0.017716298582283678,0.004270446175729554,0.03329215886670782,0.00245192947754807,0.7914536922385463,0.001865663798134336,0.8072008190727993,0.0007159240970618537,0.797298750340479
2.5631578947368423,0.001697695998302304,0.03597724126402277,0.0010673662989326338,0.057072815742927184,0.0020259238979740764,0.1563294331036706,0.0013509395886490596,0.4274414740325585,0.0024768962375231033,0.6724646139675353,0.004561236675438763,0.6841370284469741
2.768421052631579,0.001119117998880882,0.008865856991134149,0.0010423412989576592,0.009733457056933218,0.0019572552980427448,0.09229942712770058,0.002132950817867049,0.038075467391924536,0.002241086117758914,0.17668580730331418,0.006586967046746367,0.10346397384320269
2.973684210526316,0.001979877898020122,0.0008650641991349357,0.0014135454652531205,0.0211186975788813,0.0001406004598593994,0.05669682012330318,5.20820299479184e-05,0.012821889067178113,0.0016842753183157239,0.08364666119635333,0.000650033828238855,0.056715229625507
3.1789473684210527,0.0045518472954481515,0.011498987488501013,0.000918484232414849,0.008697955924635375,0.0033145312166854694,0.0028154926771845057,0.0022278956677721042,0.01692996303307004,0.0010678267589321732,0.018926594941073405,9.634958657031747e-05,0.020785865079214132
3.3842105263157896,0.0015194178984805822,0.006805498693194499,0.003227357463439309,0.012362216520971116,0.00023927903976072093,0.00925987061074013,0.0004652147495347856,0.0117923005082077,0.000278227039721773,0.011954546228045456,0.000781516290329595,0.006395177671382601
3.5894736842105264,0.00147177029852823,0.013023910886976091,0.0011354009321979323,0.003333063063333603,0.0010344534189655463,0.006403216813596784,0.001183232048816768,0.0010842731889157283,0.0013125949186874053,0.006316553873683447,0.00281505446162939,0.009437850635006592
3.794736842105263,0.0016310293983689702,0.004150045895849956,0.0005893220660773445,0.001097563132235769,0.0011606995388393011,0.0049578729150421275,0.001360098738639901,0.004268974705731027,0.0012358418787641586,0.003689882556310117,0.001356884416420893,0.0013084671586915308
4.0,0.0030570539969429463,0.004281777495718221,0.00110493716556173,0.003690386696309613,0.0012788976187211023,0.013727573846272427,0.0015680664984319339,0.007426418992573581,0.002560841917439158,0.002084387757915611,0.0006173834327159503,0.000637521328251368
