T,mag_a,mag_b
0.1,0.9793109703929591,1.0
0.30526315789473685,0.9770121444321773,1.0
0.5105263157894737,0.07592101422119779,1.0
0.7157894736842105,0.037780285070419105,0.9999864646601369
0.9210526315789473,0.02644415510691403,0.9997518588365062
1.1263157894736844,0.0005837771881038505,0.9981983452541968
1.3315789473684212,0.010415383418804628,0.9939887737487135
1.536842105263158,0.004610641807432517,0.9843634299359295
1.7421052631578948,0.003124441288443143,0.9671554473177301
1.9473684210526316,0.0019885636479155078,0.9370187302841109
2.1526315789473687,0.010824918358668325,0.8796035963600037
2.3578947368421055,0.0010576352953178844,0.17984884863752662
2.5631578947368423,0.0026814720389171333,0.019273374471338922
2.768421052631579,0.004566237811880998,0.02844799146667529
2.973684210526316,0.0007670497302527981,0.010146737225517958
3.1789473684210527,5.858579940831053e-07,0.010269080536282286
3.3842105263157896,0.00023888864758722466,0.0005346257226002817
3.5894736842105264,0.002930138454405602,0.009017223214926045
3.794736842105263,0.0015753317420891498,0.00021543412582411645
4.0,0.0019391495564145898,0.000904423328865324
